20                                      Ekin                  Epot 0                  Epot 1                  Etot 0                  Etot 1                   Pop 0                   Pop 1
123                       0.0829864804735451   -302.8259563605897711   -302.7132087839513019   -302.8259563605897711   -302.7132087839513019      0.0001413622914329      0.9998586377053078
124                       0.0834992773389478   -302.8255221772486721   -302.7132181051392195   -302.8255221772486721   -302.7132181051392195      0.0001359514546190      0.9998640485475929
125                       0.0836809316696508   -302.8250249575976909   -302.7132263304168873   -302.8250249575976909   -302.7132263304168873      0.0001676113195801      0.9998323886825230
126                       0.0834568303320323   -302.8244763921546792   -302.7132233319508714   -302.8244763921546792   -302.7132233319508714      0.0004684403088566      0.9995315597032983
127                       0.0828966064528485   -302.8239249709378669   -302.7132118580796032   -302.8239249709378669   -302.7132118580796032      0.0015871149131788      0.9984128850861159
128                       0.0823377300335967   -302.8233684336561282   -302.7131683358759915   -302.8233684336561282   -302.7131683358759915      0.0033767375737836      0.9966232623100412
129                       0.0823018500812869   -302.8227572738728668   -302.7131735604055507   -302.8227572738728668   -302.7131735604055507      0.0046096366807756      0.9953903632635950
130                       0.0828308660749072   -302.8221025282476262   -302.7131887810060675   -302.8221025282476262   -302.7131887810060675      0.0047935787001817      0.9952064213275016
131                       0.0836969414421339   -302.8214588601734363   -302.7131979951259382   -302.8214588601734363   -302.7131979951259382      0.0045324447544747      0.9954675552478579
132                       0.0846413111289640   -302.8208104308489510   -302.7132382568489675   -302.8208104308489510   -302.7132382568489675      0.0092017413484195      0.9907982582499179
133                       0.0854242047791958   -302.8198341262499866   -302.7129783864155570   -302.8198341262499866   -302.7129783864155570      0.0135373685957201      0.9864626313355331
134                       0.0850185015629135   -302.8190643132033983   -302.7129673804137724   -302.8190643132033983   -302.7129673804137724      0.0163299964273919      0.9836700034594695
135                       0.0837853710279767   -302.8182449117117017   -302.7129129497170652   -302.8182449117117017   -302.7129129497170652      0.0178196342414821      0.9821803660970670
136                       0.0823953043705195   -302.8173748078964422   -302.7128783192042647   -302.8173748078964422   -302.7128783192042647      0.0182027947065589      0.9817972052010411
137                       0.0814903899481421   -302.8164506554552418   -302.7128646255444551   -302.8164506554552418   -302.7128646255444551      0.0180531550500192      0.9819468448063494
138                       0.0813226993646689   -302.8155066692259538   -302.7128582976849316   -302.8155066692259538   -302.7128582976849316      0.0184458037421439      0.9815541963047839
139                       0.0818357472113704   -302.8145564488431205   -302.7128577544611403   -302.8145564488431205   -302.7128577544611403      0.0196541254550159      0.9803458746709023
140                       0.0827255728936424   -302.8136110207016714   -302.7128507760838261   -302.8136110207016714   -302.7128507760838261      0.0210372370786363      0.9789627628574232
141                       0.0835983643906677   -302.8126822528465709   -302.7128340814075500   -302.8126822528465709   -302.7128340814075500      0.0220935091828748      0.9779064909026903
142                       0.0841965237411922   -302.8117794399408922   -302.7128001790526355   -302.8117794399408922   -302.7128001790526355      0.0227524173531911      0.9772475826576779
143                       0.0845835660367468   -302.8109093162178169   -302.7127545091913703   -302.8109093162178169   -302.7127545091913703      0.0231726461922907      0.9768273537862396
144                       0.0850840690351607   -302.8100402698382823   -302.7127106747861376   -302.8100402698382823   -302.7127106747861376      0.0234984506556829      0.9765015493634239
145                       0.0859918585930070   -302.8091785616540506   -302.7126851283013025   -302.8091785616540506   -302.7126851283013025      0.0238364349644657      0.9761635650333153
146                       0.0872501107993931   -302.8083186690275284   -302.7126690478551154   -302.8083186690275284   -302.7126690478551154      0.0242111962070033      0.9757888037957062
147                       0.0884722762435515   -302.8074484144624989   -302.7126358773833203   -302.8074484144624989   -302.7126358773833203      0.0246997025588644      0.9753002974661882
148                       0.0892648123980915   -302.8065736768110128   -302.7125650499684753   -302.8065736768110128   -302.7125650499684753      0.0257557376226150      0.9742442623311388
149                       0.0895416834409010   -302.8056491354917625   -302.7124495355857903   -302.8056491354917625   -302.7124495355857903      0.0285779616989873      0.9714220383118528
